city_us,city_ascii,lat_us,lng_us,country_us,iso2_us,iso3_us,admin_name_us,capital_us,population_us,id_us,city_foreign,lat_foreign,lng_foreign,country_foreign,iso2_foreign,iso3_foreign,admin_name_foreign,capital_foreign,population_foreign,id_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Exeter,Exeter,41.5658,-71.6307,United States,US,USA,Rhode Island,,6761.0,1840066134,Exeter,50.7004,-3.53,United Kingdom,GB,GBR,Devon,admin,113118.0,1826840903,['English'],True,False,False,False,False,False,False,False
Horsham,Horsham,40.1825,-75.1387,United States,US,USA,Pennsylvania,,14563.0,1840035022,Horsham,-36.7096,142.19,Australia,AU,AUS,Victoria,,12830.0,1036654340,['English'],True,False,False,False,False,False,False,False
Bridgetown,Bridgetown,39.1551,-84.6359,United States,US,USA,Ohio,,13993.0,1840034100,Bridgetown,13.102,-59.6165,Barbados,BB,BRB,Saint Michael,primary,191152.0,1052274244,['English'],True,False,False,False,False,False,False,False
Uxbridge,Uxbridge,42.0593,-71.638,United States,US,USA,Massachusetts,,13815.0,1840053609,Uxbridge,51.55,-0.4833,United Kingdom,GB,GBR,Hillingdon,admin,,1826505308,['English'],True,False,False,False,False,False,False,False
Ipswich,Ipswich,42.6857,-70.8399,United States,US,USA,Massachusetts,,13810.0,1840053668,Ipswich,52.0703,1.17,United Kingdom,GB,GBR,Suffolk,admin,143767.0,1826629486,['English'],True,False,False,False,False,False,False,False
Verona,Verona,40.8323,-74.243,United States,US,USA,New Jersey,,13585.0,1840131594,Verona,45.4404,10.99,Italy,IT,ITA,Veneto,minor,347459.0,1380324879,['Italian'],False,False,False,False,False,True,False,False
Verona,Verona,42.9884,-89.5381,United States,US,USA,Wisconsin,,13107.0,1840002903,Verona,45.4404,10.99,Italy,IT,ITA,Veneto,minor,347459.0,1380324879,['Italian'],False,False,False,False,False,True,False,False
Verona,Verona,43.1592,-75.6189,United States,US,USA,New York,,6272.0,1840058561,Verona,45.4404,10.99,Italy,IT,ITA,Veneto,minor,347459.0,1380324879,['Italian'],False,False,False,False,False,True,False,False
Warrington,Warrington,30.3821,-87.2944,United States,US,USA,Florida,,13569.0,1840013914,Warrington,53.3833,-2.6,United Kingdom,GB,GBR,Warrington,admin,,1826261547,['English'],True,False,False,False,False,False,False,False
San Marino,San Marino,34.1224,-118.1132,United States,US,USA,California,,13327.0,1840021863,San Marino,43.9172,12.4667,San Marino,SM,SMR,San Marino Città,primary,29579.0,1674741947,['Italian'],False,False,False,False,False,True,False,False
Cornwall,Cornwall,41.4195,-74.054,United States,US,USA,New York,,12491.0,1840087346,Cornwall,45.0171,-74.7333,Canada,CA,CAN,Ontario,,48821.0,1124938303,"['English', 'French']",True,False,True,False,False,False,False,False
Woolwich,Woolwich,39.7401,-75.317,United States,US,USA,New Jersey,,12172.0,1840081674,Woolwich,51.4667,0.2,United Kingdom,GB,GBR,Greenwich,admin,,1826479020,['English'],True,False,False,False,False,False,False,False
Leeds,Leeds,33.5429,-86.5636,United States,US,USA,Alabama,,12031.0,1840005106,Leeds,53.83,-1.58,United Kingdom,GB,GBR,Leeds,admin,1529000.0,1826343963,['English'],True,False,False,False,False,False,False,False
Rehoboth,Rehoboth,41.8439,-71.2456,United States,US,USA,Massachusetts,,11990.0,1840053661,Rehoboth,-23.3196,17.08,Namibia,,NAM,Hardap,,25219.0,1516928100,['English'],True,False,False,False,False,False,False,False
Newcastle,Newcastle,47.5303,-122.1633,United States,US,USA,Washington,,11681.0,1840019831,Newcastle,-32.8453,151.815,Australia,AU,AUS,New South Wales,,1134616.0,1036468001,['English'],True,False,False,False,False,False,False,False
Newcastle,Newcastle,35.2404,-97.5998,United States,US,USA,Oklahoma,,9912.0,1840020453,Newcastle,-32.8453,151.815,Australia,AU,AUS,New South Wales,,1134616.0,1036468001,['English'],True,False,False,False,False,False,False,False
Dudley,Dudley,42.055,-71.9352,United States,US,USA,Massachusetts,,11637.0,1840053586,Dudley,52.5,-2.0833,United Kingdom,GB,GBR,Dudley,admin,,1826052828,['English'],True,False,False,False,False,False,False,False
Delhi,Delhi,37.4306,-120.7759,United States,US,USA,California,,11622.0,1840018930,Delhi,28.67,77.23,India,IN,IND,Delhi,admin,15926000.0,1356872604,"['Hindi', 'English']",True,False,False,False,False,False,False,False
Winton,Winton,37.3854,-120.6173,United States,US,USA,California,,11487.0,1840018933,Winton,-22.3996,143.0333,Australia,AU,AUS,Queensland,,1157.0,1036031036,['English'],True,False,False,False,False,False,False,False
Ravenna,Ravenna,41.1613,-81.2421,United States,US,USA,Ohio,,11461.0,1840009317,Ravenna,44.4204,12.22,Italy,IT,ITA,Emilia-Romagna,minor,134631.0,1380964180,['Italian'],False,False,False,False,False,True,False,False
Bradford,Bradford,41.9604,-78.6413,United States,US,USA,Pennsylvania,,11442.0,1840000523,Bradford,53.8,-1.75,United Kingdom,GB,GBR,Bradford,admin,501700.0,1826687116,['English'],True,False,False,False,False,False,False,False
Roma,Roma,26.4166,-99.0061,United States,US,USA,Texas,,11425.0,1840021017,Roma,-26.5594,148.7907,Australia,AU,AUS,Queensland,,5496.0,1036698836,['English'],True,False,False,False,False,False,False,False
Leicester,Leicester,42.24,-71.912,United States,US,USA,Massachusetts,,11277.0,1840053693,Leicester,52.63,-1.1332,United Kingdom,GB,GBR,Leicester,admin,457983.0,1826431946,['English'],True,False,False,False,False,False,False,False
Southport,Southport,42.04,-76.8774,United States,US,USA,New York,,10457.0,1840058508,Southport,53.6667,-3.0,United Kingdom,GB,GBR,Sefton,admin,,1826271387,['English'],True,False,False,False,False,False,False,False
Wyndham,Wyndham,37.6924,-77.6123,United States,US,USA,Virginia,,10334.0,1840006396,Wyndham,-15.374,128.3601,Australia,AU,AUS,Western Australia,,800.0,1036474435,['English'],True,False,False,False,False,False,False,False
Southampton,Southampton,39.9137,-74.7171,United States,US,USA,New Jersey,,10274.0,1840081621,Southampton,50.9,-1.4,United Kingdom,GB,GBR,Southampton,admin,384417.0,1826602892,['English'],True,False,False,False,False,False,False,False
Southampton,Southampton,42.2308,-72.7386,United States,US,USA,Massachusetts,,6090.0,1840053466,Southampton,50.9,-1.4,United Kingdom,GB,GBR,Southampton,admin,384417.0,1826602892,['English'],True,False,False,False,False,False,False,False
Rodeo,Rodeo,38.0368,-122.2526,United States,US,USA,California,,10174.0,1840018900,Rodeo,-30.2156,-69.14,Argentina,AR,ARG,San Juan,minor,701.0,1032937217,['Spanish'],False,True,False,False,False,False,False,False
Philipsburg,Philipsburg,40.8952,-78.2147,United States,US,USA,Pennsylvania,,9877.0,1840000827,Philipsburg,18.0255,-63.045,Sint Maarten,SX,SXM,,primary,,1534859858,"['Dutch', 'English']",True,False,False,False,False,False,False,True
Croydon,Croydon,40.0911,-74.8975,United States,US,USA,Pennsylvania,,9865.0,1840005406,Croydon,51.3833,-0.1,United Kingdom,GB,GBR,Croydon,admin,,1826126675,['English'],True,False,False,False,False,False,False,False
Progress,Progress,40.2905,-76.8382,United States,US,USA,Pennsylvania,,9737.0,1840035164,Progress,49.7504,129.6167,Russia,RU,RUS,Amurskaya Oblast’,,146.0,1643007077,['Russian'],False,False,False,False,False,False,False,False
Hamburg,Hamburg,42.7233,-78.8348,United States,US,USA,New York,,9696.0,1840004385,Hamburg,53.55,10.0,Germany,DE,DEU,Hamburg,admin,1757000.0,1276041799,['German'],False,False,False,False,True,False,False,False
Marathon,Marathon,24.7262,-81.0376,United States,US,USA,Florida,,9591.0,1840016010,Marathon,48.7504,-86.3667,Canada,CA,CAN,Ontario,,4627.0,1124974800,"['English', 'French']",True,False,True,False,False,False,False,False
Potsdam,Potsdam,44.6699,-74.9831,United States,US,USA,New York,,9566.0,1840004061,Potsdam,52.4004,13.07,Germany,DE,DEU,Brandenburg,admin,218095.0,1276395100,['German'],False,False,False,False,True,False,False,False
La Plata,La Plata,38.5352,-76.9701,United States,US,USA,Maryland,,9365.0,1840006177,La Plata,-34.9096,-57.96,Argentina,AR,ARG,Buenos Aires,admin,694253.0,1032403831,['Spanish'],False,True,False,False,False,False,False,False
Cairo,Cairo,30.879,-84.205,United States,US,USA,Georgia,,9244.0,1840013900,Cairo,30.05,31.25,Egypt,EG,EGY,Al Qāhirah,primary,11893000.0,1818253931,['Arabic'],False,False,False,True,False,False,False,False
Cairo,Cairo,42.2965,-74.0205,United States,US,USA,New York,,6483.0,1840057626,Cairo,30.05,31.25,Egypt,EG,EGY,Al Qāhirah,primary,11893000.0,1818253931,['Arabic'],False,False,False,True,False,False,False,False
Sheffield,Sheffield,34.7559,-87.7007,United States,US,USA,Alabama,,8930.0,1840015537,Sheffield,53.3667,-1.5,United Kingdom,GB,GBR,Sheffield,admin,1292900.0,1826289852,['English'],True,False,False,False,False,False,False,False
Glencoe,Glencoe,42.1347,-87.7641,United States,US,USA,Illinois,,8900.0,1840011279,Glencoe,-46.0947,168.9604,New Zealand,NZ,NZL,Southland,,9750.0,1554979133,"['English', 'Maori']",True,False,False,False,False,False,False,False
Glencoe,Glencoe,44.7699,-94.1513,United States,US,USA,Minnesota,,5407.0,1840007845,Glencoe,-46.0947,168.9604,New Zealand,NZ,NZL,Southland,,9750.0,1554979133,"['English', 'Maori']",True,False,False,False,False,False,False,False
