city_ascii,lat_us,lng_us,language,country_foreign,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Georgetown,38.2251,-84.5481,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
Georgetown,38.6899,-75.3872,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
Georgetown,42.724,-70.9821,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
Gladstone,39.2133,-94.5592,['English'],['Australia'],True,False,False,False,False,False,False,False
Gladstone,45.3864,-122.5933,['English'],['Australia'],True,False,False,False,False,False,False,False
Glasgow,37.0047,-85.9263,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Glasgow,39.6015,-75.7474,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Glencoe,33.9446,-85.9319,['English' 'Maori'],['New Zealand'],True,False,False,False,False,False,False,False
Glencoe,42.1347,-87.7641,['English' 'Maori'],['New Zealand'],True,False,False,False,False,False,False,False
Glencoe,44.7699,-94.1513,['English' 'Maori'],['New Zealand'],True,False,False,False,False,False,False,False
Gloucester,39.7924,-75.0363,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Gloucester,42.626,-70.6897,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Grafton,39.341,-80.0161,['English'],['Australia'],True,False,False,False,False,False,False,False
Grafton,41.2808,-82.0368,['English'],['Australia'],True,False,False,False,False,False,False,False
Grafton,42.2085,-71.6838,['English'],['Australia'],True,False,False,False,False,False,False,False
Grafton,43.3204,-87.9481,['English'],['Australia'],True,False,False,False,False,False,False,False
Greenville,31.8437,-86.6379,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,33.1116,-96.1099,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,33.385,-91.0514,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,34.8362,-82.3649,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,35.5956,-77.3768,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,38.8866,-89.3893,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,40.1043,-84.6209,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,40.9982,-73.8194,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,41.4052,-80.3837,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,41.88,-71.5549,['English'],['Liberia'],True,False,False,False,False,False,False,False
Greenville,43.1797,-85.2533,['English'],['Liberia'],True,False,False,False,False,False,False,False
Griffith,41.5279,-87.424,['English'],['Australia'],True,False,False,False,False,False,False,False
Guadalupe,33.3664,-111.9633,['Portuguese'],['Sao Tome And Principe'],False,False,False,False,False,False,True,False
Guadalupe,34.9608,-120.5735,['Portuguese'],['Sao Tome And Principe'],False,False,False,False,False,False,True,False
Halifax,41.9914,-70.8633,['English' 'French'],"['Canada', 'United Kingdom']",True,False,True,False,False,False,False,False
Hamburg,42.7233,-78.8348,['German'],['Germany'],False,False,False,False,True,False,False,False
Hamilton,34.1346,-87.9755,['English' 'French' 'Maori'],"['Canada', 'New Zealand', 'United Kingdom', 'Bermuda', 'Australia']",True,False,True,False,False,False,False,False
Hamilton,39.3938,-84.5652,['English' 'French' 'Maori'],"['Canada', 'New Zealand', 'United Kingdom', 'Bermuda', 'Australia']",True,False,True,False,False,False,False,False
Hamilton,40.2046,-74.6765,['English' 'French' 'Maori'],"['Canada', 'New Zealand', 'United Kingdom', 'Bermuda', 'Australia']",True,False,True,False,False,False,False,False
Hamilton,42.6267,-70.858,['English' 'French' 'Maori'],"['Canada', 'New Zealand', 'United Kingdom', 'Bermuda', 'Australia']",True,False,True,False,False,False,False,False
Hamilton,46.2527,-114.1598,['English' 'French' 'Maori'],"['Canada', 'New Zealand', 'United Kingdom', 'Bermuda', 'Australia']",True,False,True,False,False,False,False,False
Hanover,45.1558,-93.66635,['German'],['Germany'],False,False,False,False,True,False,False,False
Happy Valley,45.4382,-122.5143,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Havana,40.307,-90.0602,['Spanish'],['Cuba'],False,True,False,False,False,False,False,False
Hereford,34.8232,-102.4001,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Hobart,41.5139,-87.2729,['English'],['Australia'],True,False,False,False,False,False,False,False
Hobart,44.4966,-88.1602,['English'],['Australia'],True,False,False,False,False,False,False,False
Hobart,47.412,-121.996,['English'],['Australia'],True,False,False,False,False,False,False,False
Hopedale,42.1248,-71.535,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Horsham,40.1825,-75.1387,['English'],['Australia'],True,False,False,False,False,False,False,False
Inverness,28.8397,-82.3437,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Inverness,42.1152,-88.1019,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Ipswich,42.6857,-70.8399,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Irvine,33.6772,-117.7738,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Island Lake,42.2784,-88.1999,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Jasper,30.9221,-93.9947,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Jasper,33.8514,-87.2719,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Jasper,34.4709,-84.4496,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Jasper,38.3934,-86.9404,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Jordan,44.6652,-93.6351,['English' 'Filipino'],['Philippines'],True,False,False,False,False,False,False,False
Kensington,37.9084,-122.2805,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Kensington,41.6298,-72.7714,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Kerman,36.7249,-120.0625,['Persian'],['Iran'],False,False,False,False,False,False,False,False
Kiel,43.9167,-88.0266,['German'],['Germany'],False,False,False,False,True,False,False,False
Kingston,35.8713,-84.4959,['English' 'French'],"['Jamaica', 'Canada', 'Australia']",True,False,True,False,False,False,False,False
Kingston,41.2652,-75.8875,['English' 'French'],"['Jamaica', 'Canada', 'Australia']",True,False,True,False,False,False,False,False
Kingston,41.4738,-71.5236,['English' 'French'],"['Jamaica', 'Canada', 'Australia']",True,False,True,False,False,False,False,False
Kingston,41.9295,-73.9968,['English' 'French'],"['Jamaica', 'Canada', 'Australia']",True,False,True,False,False,False,False,False
